,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore,year,country,Hydro Pumped Storage,Waste,Other,Fossil Coal-derived gas,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Marine,Other renewable,Wind Offshore
0,92.0,4524.0,4861.0,1348.0,2670.0,3800.0,1298.0,1101.0,2896.0,2015,RO,,,,,,,,,,,
1,95.0,4546.0,4879.0,1348.0,2697.0,4006.0,1298.0,1152.0,2938.0,2016,RO,,,,,,,,,,,
2,115.0,4622.0,5020.0,1232.0,2681.0,3800.0,1300.0,1210.0,2985.0,2017,RO,,,,,,,,,,,
3,116.0,4578.0,5142.0,1227.0,2687.0,3803.0,1300.0,1211.0,2987.0,2018,RO,,,,,,,,,,,
4,115.0,3096.0,3033.0,1032.0,2770.0,3373.0,1300.0,1150.0,2968.0,2019,RO,,,,,,,,,,,
5,117.0,3071.0,2666.0,1032.0,2750.0,3390.0,1300.0,1163.0,2972.0,2020,RO,,,,,,,,,,,
6,117.0,2483.0,2184.0,986.0,2746.0,3388.0,1300.0,1145.0,2957.0,2021,RO,,,,,,,,,,,
0,20.0,5648.0,19.0,,,1566.0,2000.0,275.0,358.0,2015,BG,1399.0,,,,,,,,,,
1,47.0,4882.0,715.0,,,1544.0,2000.0,1041.0,701.0,2016,BG,1399.0,,,,,,,,,,
2,74.0,4119.0,561.0,362.0,530.0,1810.0,2000.0,1046.0,701.0,2017,BG,864.0,6.0,,,,,,,,,
3,74.0,4119.0,981.0,362.0,534.0,1810.0,2000.0,1052.0,700.0,2018,BG,864.0,6.0,,,,,,,,,
4,74.0,4119.0,1232.0,356.0,537.0,1810.0,2000.0,1059.0,700.0,2019,BG,864.0,6.0,,,,,,,,,
5,74.0,4119.0,1232.0,356.0,537.0,1810.0,2000.0,1084.0,700.0,2020,BG,864.0,6.0,,,,,,,,,
6,75.0,4119.0,1371.0,246.0,539.0,1810.0,2000.0,1130.0,701.0,2021,BG,864.0,6.0,,,,,,,,,
0,,,,,190.0,4792.0,3375.0,,,2015,CH,3940.0,,,,,,,,,,
1,,,,,190.0,4802.0,3375.0,,,2016,CH,4178.0,,,,,,,,,,
2,,,,,190.0,4898.0,3373.0,,,2017,CH,6228.0,,,,,,,,,,
3,,,,,529.0,5405.0,3373.0,,,2018,CH,6594.0,,,,,,,,,,
4,,,,,635.0,5419.0,3373.0,,,2019,CH,6641.0,,,,,,,,,,
5,,,,,635.0,5415.0,2970.0,,,2020,CH,6672.0,,,,,,,,,,
6,,,,,605.0,5588.0,2970.0,,,2021,CH,6681.0,,,,,,,,,,
0,,5566.0,,,1883.0,420.0,,,,2015,RS,614.0,,353.0,,,,,,,,
1,,5566.0,0.0,,1883.0,420.0,,,,2016,RS,614.0,,403.0,,,,,,,,
2,6.0,5644.0,3.0,,1995.0,369.0,,4.0,17.0,2017,RS,642.0,,428.0,,,,,,,,
3,8.0,5668.0,3.0,,2038.0,369.0,,4.0,25.0,2018,RS,642.0,,426.0,,,,,,,,
4,8.0,5601.0,286.0,,1982.0,345.0,,4.0,398.0,2019,RS,639.0,,23.0,,,,,,,,
5,8.0,5283.0,286.0,,2005.0,472.0,,4.0,397.0,2020,RS,639.0,,25.0,,,,,,,,
6,2.0,5283.0,297.0,,2004.0,472.0,,3.0,397.0,2021,RS,642.0,,25.0,,,,,,,,
0,582.0,0.0,4719.0,1756.0,2979.0,1436.0,0.0,221.0,4486.0,2015,PT,1245.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,582.0,0.0,4695.0,1756.0,2987.0,1511.0,0.0,251.0,4617.0,2016,PT,1623.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,598.0,0.0,4657.0,1756.0,2844.0,1515.0,0.0,261.0,5028.0,2017,PT,2559.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,594.0,0.0,4621.0,1756.0,2834.0,1515.0,0.0,272.0,5073.0,2018,PT,2820.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,605.0,0.0,4606.0,1756.0,2858.0,1515.0,0.0,324.0,5127.0,2019,PT,2820.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,679.0,0.0,4606.0,1756.0,2858.0,1515.0,0.0,413.0,5181.0,2020,PT,2820.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,684.0,0.0,4585.0,1756.0,2857.0,1515.0,0.0,569.0,5183.0,2021,PT,2820.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
0,29.0,,2651.0,,128.0,,,68.0,282.0,2015,LT,900.0,31.0,150.0,,160.0,,,,,67.0,
1,65.0,,1719.0,,128.0,,,69.0,366.0,2016,LT,900.0,21.0,35.0,,160.0,,,,,,
2,101.0,,1656.0,,128.0,,,80.0,426.0,2017,LT,900.0,21.0,35.0,,160.0,,,,,84.0,
3,102.0,,1873.0,,128.0,,,82.0,509.0,2018,LT,900.0,22.0,37.0,,0.0,,,,,0.0,
4,96.0,,1710.0,,128.0,,,82.0,525.0,2019,LT,900.0,21.0,140.0,,0.0,,,,,0.0,
5,98.0,,1770.0,,128.0,,,103.0,534.0,2020,LT,900.0,22.0,144.0,,0.0,,,,,0.0,
6,99.0,,1887.0,,128.0,,,169.0,540.0,2021,LT,900.0,48.0,37.0,,0.0,,,,,0.0,
0,671.0,1198.0,30429.0,9411.0,1085.0,18187.0,7572.0,6535.0,22740.0,2015,ES,4825.0,269.0,93.0,0.0,650.0,0.0,0.0,0.0,0.0,141.0,0.0
1,705.0,1056.0,30295.0,9411.0,1156.0,19076.0,7572.0,6500.0,22772.0,2016,ES,5593.0,378.0,103.0,0.0,681.0,0.0,0.0,0.0,0.0,157.0,0.0
2,541.0,0.0,30723.0,9535.0,1156.0,19113.0,7572.0,6720.0,22813.0,2017,ES,5645.0,536.0,107.0,0.0,715.0,0.0,0.0,0.0,0.0,253.0,0.0
