TimeStamp,at,dk,de,ie,pt,es,uk
2016-01-01 00:00:00+00:00,152.25,839.0,4127.75,733.5,1180.0,1866.0,3605.0
2016-01-01 01:00:00+00:00,152.0,812.0,3882.25,694.0,1180.0,1422.0,3980.0
2016-01-01 02:00:00+00:00,151.75,785.0,3670.0,552.0,1180.0,1146.0,3679.5
2016-01-01 03:00:00+00:00,152.0,829.0,3657.5,326.5,1056.0,1081.0,3238.5
2016-01-01 04:00:00+00:00,151.75,860.0,3686.5,292.5,735.0,1108.0,3429.0
2016-01-01 05:00:00+00:00,151.75,885.0,3838.75,258.5,549.0,1096.0,3387.0
2016-01-01 06:00:00+00:00,151.5,849.0,3953.75,241.0,361.0,1077.0,3613.5
2016-01-01 07:00:00+00:00,152.0,869.0,4184.75,245.5,360.0,1081.0,3779.5
2016-01-01 08:00:00+00:00,152.0,780.0,4213.5,239.5,360.0,1119.0,3605.0
2016-01-01 09:00:00+00:00,151.75,685.0,4765.75,236.5,361.0,1121.0,3762.0
2016-01-01 10:00:00+00:00,151.5,709.0,5426.5,230.0,384.0,1116.0,3907.0
2016-01-01 11:00:00+00:00,152.0,729.0,5665.0,233.5,602.0,1119.0,4415.5
2016-01-01 12:00:00+00:00,151.5,793.0,5801.25,224.0,521.0,1069.0,5061.5
2016-01-01 13:00:00+00:00,152.0,888.0,5739.75,222.5,361.0,1098.0,5055.0
2016-01-01 14:00:00+00:00,151.75,1024.0,5767.5,236.0,360.0,1070.0,4348.0
2016-01-01 15:00:00+00:00,152.25,1157.0,6082.25,241.0,361.0,1034.0,4628.0
2016-01-01 16:00:00+00:00,151.5,1354.0,6703.5,246.0,520.0,1079.0,4758.0
2016-01-01 17:00:00+00:00,152.0,1407.0,6823.75,333.0,898.0,1134.0,4960.5
2016-01-01 18:00:00+00:00,151.5,1260.0,6643.75,244.0,1180.0,1145.0,4790.5
2016-01-01 19:00:00+00:00,151.75,1119.0,6127.0,225.5,1179.0,1089.0,4332.5
2016-01-01 20:00:00+00:00,151.75,1022.0,5368.25,215.0,1180.0,1102.0,3623.0
2016-01-01 21:00:00+00:00,152.0,798.0,4981.75,233.0,1180.0,1059.0,3326.5
2016-01-01 22:00:00+00:00,152.0,689.0,4180.25,306.0,850.0,1179.0,3045.0
2016-01-01 23:00:00+00:00,151.5,619.0,3626.5,286.0,512.0,967.0,2417.5
2016-01-02 00:00:00+00:00,151.5,756.0,3060.75,255.0,360.0,1026.0,2207.0
2016-01-02 01:00:00+00:00,152.0,789.0,2998.5,322.5,360.0,1016.0,2189.5
2016-01-02 02:00:00+00:00,240.25,705.0,2854.5,286.5,341.0,1086.0,2178.0
2016-01-02 03:00:00+00:00,289.0,713.0,2891.5,246.0,361.0,1084.0,2070.5
2016-01-02 04:00:00+00:00,316.25,711.0,2934.5,257.5,358.0,1041.0,1794.0
2016-01-02 05:00:00+00:00,341.5,711.0,3031.0,255.0,283.0,1091.0,2034.0
2016-01-02 06:00:00+00:00,341.5,715.0,2995.75,319.0,360.0,1148.0,2030.0
2016-01-02 07:00:00+00:00,341.25,750.0,3132.5,378.5,543.0,1179.0,2616.0
2016-01-02 08:00:00+00:00,341.75,882.0,3201.75,371.5,630.0,1165.0,3205.5
2016-01-02 09:00:00+00:00,341.5,1195.0,3380.0,390.5,715.0,1283.0,3831.0
2016-01-02 10:00:00+00:00,345.25,1254.0,3680.5,494.0,903.0,1354.0,4052.0
2016-01-02 11:00:00+00:00,362.0,1261.0,3875.25,524.5,1053.0,1320.0,4161.5
2016-01-02 12:00:00+00:00,361.25,1139.0,3771.5,536.5,1162.0,1262.0,4217.5
2016-01-02 13:00:00+00:00,347.25,1239.0,3694.0,561.0,1180.0,1233.0,4140.0
2016-01-02 14:00:00+00:00,341.75,1239.0,3615.75,632.0,1180.0,1219.0,3846.5
2016-01-02 15:00:00+00:00,361.0,1314.0,3790.0,675.0,1180.0,1120.0,4284.0
2016-01-02 16:00:00+00:00,371.75,1289.0,4070.25,709.5,1180.0,1152.0,5291.5
2016-01-02 17:00:00+00:00,371.25,1296.0,3792.75,718.0,1181.0,1391.0,5877.0
2016-01-02 18:00:00+00:00,356.5,1283.0,3587.5,696.5,1180.0,1727.0,5785.0
2016-01-02 19:00:00+00:00,341.75,1163.0,3431.0,716.5,1180.0,1687.0,5095.0
2016-01-02 20:00:00+00:00,341.5,1016.0,3324.5,705.5,1180.0,1758.0,4250.5
2016-01-02 21:00:00+00:00,341.5,1025.0,3269.0,711.0,1179.0,1732.0,4091.0
2016-01-02 22:00:00+00:00,341.75,1028.0,2662.5,712.0,1026.0,1515.0,3323.5
2016-01-02 23:00:00+00:00,341.25,882.0,2188.5,631.0,523.0,1169.0,2827.5
2016-01-03 00:00:00+00:00,341.25,735.0,2131.75,432.0,271.0,970.0,2608.5
2016-01-03 01:00:00+00:00,342.0,771.0,2162.25,244.0,182.0,995.0,2625.0
2016-01-03 02:00:00+00:00,341.25,836.0,2169.5,239.0,180.0,977.0,2470.0
2016-01-03 03:00:00+00:00,342.0,816.0,2250.5,240.0,180.0,897.0,2392.5
2016-01-03 04:00:00+00:00,341.25,896.0,2286.0,242.5,180.0,945.0,2253.5
2016-01-03 05:00:00+00:00,341.5,817.0,2268.0,260.5,180.0,872.0,2152.0
