TimeStamp,at,de,ie,pt,uk
2016-01-01 00:00:00+00:00,0.0,386.75,86.0,128.0,0.0
2016-01-01 01:00:00+00:00,0.0,264.75,191.5,1.0,7.5
2016-01-01 02:00:00+00:00,0.0,121.5,300.0,0.0,0.0
2016-01-01 03:00:00+00:00,0.0,227.5,297.0,0.0,94.5
2016-01-01 04:00:00+00:00,0.0,421.25,290.0,0.0,0.0
2016-01-01 05:00:00+00:00,0.0,199.75,285.0,0.0,0.0
2016-01-01 06:00:00+00:00,0.0,639.75,214.0,0.0,15.5
2016-01-01 07:00:00+00:00,0.0,367.25,78.5,0.0,74.5
2016-01-01 08:00:00+00:00,0.0,407.75,16.0,0.0,132.0
2016-01-01 09:00:00+00:00,0.0,189.75,16.0,0.0,375.0
2016-01-01 10:00:00+00:00,157.0,429.75,33.5,0.0,490.5
2016-01-01 11:00:00+00:00,524.0,667.75,16.0,0.0,473.5
2016-01-01 12:00:00+00:00,413.75,618.0,33.5,0.0,529.0
2016-01-01 13:00:00+00:00,0.25,730.75,16.0,0.0,643.0
2016-01-01 14:00:00+00:00,0.0,1364.0,16.0,0.0,645.0
2016-01-01 15:00:00+00:00,567.5,2036.25,16.0,0.0,480.0
2016-01-01 16:00:00+00:00,993.25,3289.25,15.5,0.0,485.0
2016-01-01 17:00:00+00:00,920.75,2080.5,72.5,299.0,746.5
2016-01-01 18:00:00+00:00,930.25,1629.5,58.0,740.0,399.5
2016-01-01 19:00:00+00:00,859.0,1982.25,57.0,507.0,678.5
2016-01-01 20:00:00+00:00,473.75,1685.0,57.5,301.0,622.5
2016-01-01 21:00:00+00:00,593.25,1439.5,60.0,512.0,531.0
2016-01-01 22:00:00+00:00,0.0,1105.0,38.5,4.0,362.0
2016-01-01 23:00:00+00:00,0.0,480.5,113.5,0.0,116.0
2016-01-02 00:00:00+00:00,0.0,503.25,45.0,0.0,0.0
2016-01-02 01:00:00+00:00,0.0,304.5,188.0,21.0,0.0
2016-01-02 02:00:00+00:00,0.0,366.0,224.0,40.0,0.0
2016-01-02 03:00:00+00:00,0.0,549.0,222.0,10.0,0.0
2016-01-02 04:00:00+00:00,0.0,398.0,218.5,56.0,0.0
2016-01-02 05:00:00+00:00,0.0,93.25,217.0,55.0,0.0
2016-01-02 06:00:00+00:00,0.0,765.5,214.0,55.0,0.0
2016-01-02 07:00:00+00:00,0.0,557.5,79.5,16.0,83.5
2016-01-02 08:00:00+00:00,0.0,682.5,34.5,2.0,346.5
2016-01-02 09:00:00+00:00,0.0,1036.75,51.5,349.0,342.0
2016-01-02 10:00:00+00:00,0.0,1058.5,75.0,489.0,342.0
2016-01-02 11:00:00+00:00,0.0,909.5,16.0,229.0,397.5
2016-01-02 12:00:00+00:00,0.0,809.0,16.0,300.0,604.5
2016-01-02 13:00:00+00:00,0.0,733.5,16.0,347.0,430.0
2016-01-02 14:00:00+00:00,0.0,489.25,16.0,200.0,426.0
2016-01-02 15:00:00+00:00,0.0,846.75,16.0,434.0,373.5
2016-01-02 16:00:00+00:00,540.0,2137.0,117.5,595.0,409.5
2016-01-02 17:00:00+00:00,985.25,2456.75,173.5,775.0,1322.0
2016-01-02 18:00:00+00:00,417.5,2728.5,145.0,1008.0,1385.0
2016-01-02 19:00:00+00:00,0.0,1899.25,115.0,1152.0,662.5
2016-01-02 20:00:00+00:00,0.0,984.0,131.0,1104.0,392.0
2016-01-02 21:00:00+00:00,0.0,1897.0,13.5,969.0,390.5
2016-01-02 22:00:00+00:00,0.0,766.25,18.0,531.0,366.5
2016-01-02 23:00:00+00:00,0.0,444.5,16.0,64.0,54.0
2016-01-03 00:00:00+00:00,0.0,264.25,77.0,0.0,0.0
2016-01-03 01:00:00+00:00,0.0,225.75,113.5,0.0,0.0
2016-01-03 02:00:00+00:00,0.0,149.75,227.5,0.0,0.0
2016-01-03 03:00:00+00:00,0.0,367.75,297.0,0.0,0.0
2016-01-03 04:00:00+00:00,0.0,423.0,293.5,0.0,0.0
2016-01-03 05:00:00+00:00,0.0,94.25,287.5,0.0,0.0
2016-01-03 06:00:00+00:00,0.0,369.25,283.5,0.0,0.0
2016-01-03 07:00:00+00:00,0.0,425.5,115.0,0.0,0.0
2016-01-03 08:00:00+00:00,0.0,429.0,15.5,24.0,110.5
2016-01-03 09:00:00+00:00,0.0,668.0,15.5,53.0,345.0
2016-01-03 10:00:00+00:00,0.0,868.5,57.5,222.0,602.0
2016-01-03 11:00:00+00:00,0.0,1077.0,21.0,336.0,357.0
2016-01-03 12:00:00+00:00,0.0,994.5,132.5,126.0,549.0
2016-01-03 13:00:00+00:00,0.0,1013.75,149.5,41.0,777.0
2016-01-03 14:00:00+00:00,0.0,557.75,15.0,43.0,403.0
2016-01-03 15:00:00+00:00,0.0,1667.25,15.0,53.0,342.0
