TimeStamp,at,de,ie,pt,es,uk
2016-01-01 00:00:00+00:00,1192.0,970.5,185.5,577.0,682.0,756.5
2016-01-01 01:00:00+00:00,1196.5,967.75,188.0,374.0,660.0,644.5
2016-01-01 02:00:00+00:00,1203.75,954.5,186.5,371.0,651.0,642.5
2016-01-01 03:00:00+00:00,1214.25,949.0,173.5,311.0,626.0,712.0
2016-01-01 04:00:00+00:00,1225.25,941.5,174.0,237.0,616.0,927.0
2016-01-01 05:00:00+00:00,1235.5,936.5,172.0,401.0,618.0,960.0
2016-01-01 06:00:00+00:00,1266.75,941.5,172.0,499.0,621.0,925.5
2016-01-01 07:00:00+00:00,1233.25,957.75,173.0,438.0,626.0,1016.0
2016-01-01 08:00:00+00:00,1309.0,1011.0,187.0,559.0,615.0,959.0
2016-01-01 09:00:00+00:00,1292.25,1002.5,187.5,630.0,616.0,932.0
2016-01-01 10:00:00+00:00,1357.5,993.25,187.0,629.0,629.0,687.5
2016-01-01 11:00:00+00:00,1392.25,993.0,187.0,668.0,615.0,904.0
2016-01-01 12:00:00+00:00,1339.5,1004.5,185.0,579.0,623.0,991.5
2016-01-01 13:00:00+00:00,1320.5,1023.5,183.0,528.0,632.0,1028.0
2016-01-01 14:00:00+00:00,1332.0,1039.75,182.0,518.0,544.0,957.5
2016-01-01 15:00:00+00:00,1528.0,1034.25,180.0,601.0,547.0,780.0
2016-01-01 16:00:00+00:00,1658.0,1026.0,179.5,564.0,596.0,696.5
2016-01-01 17:00:00+00:00,1736.25,1021.75,169.5,677.0,693.0,719.0
2016-01-01 18:00:00+00:00,1673.0,1005.0,166.5,641.0,716.0,743.0
2016-01-01 19:00:00+00:00,1624.25,969.25,165.5,544.0,726.0,726.5
2016-01-01 20:00:00+00:00,1428.0,971.75,163.5,525.0,694.0,725.5
2016-01-01 21:00:00+00:00,1260.75,972.5,166.5,638.0,684.0,714.0
2016-01-01 22:00:00+00:00,1179.75,973.25,180.0,659.0,677.0,720.5
2016-01-01 23:00:00+00:00,1142.0,968.0,184.0,682.0,630.0,712.0
2016-01-02 00:00:00+00:00,1167.25,970.75,186.0,550.0,582.0,694.0
2016-01-02 01:00:00+00:00,1178.75,970.0,183.5,475.0,584.0,692.0
2016-01-02 02:00:00+00:00,1174.5,964.0,185.0,401.0,584.0,678.5
2016-01-02 03:00:00+00:00,1187.25,970.5,186.0,482.0,585.0,660.0
2016-01-02 04:00:00+00:00,1170.5,970.25,185.0,467.0,584.0,648.5
2016-01-02 05:00:00+00:00,1232.75,966.5,184.0,453.0,585.0,648.0
2016-01-02 06:00:00+00:00,1260.0,966.5,186.0,641.0,654.0,649.5
2016-01-02 07:00:00+00:00,1283.5,1003.75,182.5,632.0,687.0,652.0
2016-01-02 08:00:00+00:00,1321.25,1010.5,185.5,671.0,691.0,654.0
2016-01-02 09:00:00+00:00,1347.0,1012.25,183.0,898.0,698.0,663.0
2016-01-02 10:00:00+00:00,1318.0,1016.5,185.0,872.0,712.0,727.0
2016-01-02 11:00:00+00:00,1377.25,1012.25,182.5,784.0,699.0,1013.0
2016-01-02 12:00:00+00:00,1323.25,1013.5,175.0,994.0,677.0,1055.5
2016-01-02 13:00:00+00:00,1353.5,1017.75,168.5,855.0,587.0,1058.0
2016-01-02 14:00:00+00:00,1370.25,1014.75,168.0,658.0,586.0,1061.5
2016-01-02 15:00:00+00:00,1494.5,1019.5,176.0,686.0,653.0,1063.0
2016-01-02 16:00:00+00:00,1572.0,984.25,184.5,669.0,697.0,1065.5
2016-01-02 17:00:00+00:00,1620.5,986.75,184.0,828.0,723.0,1076.5
2016-01-02 18:00:00+00:00,1624.25,985.0,183.5,810.0,747.0,1056.0
2016-01-02 19:00:00+00:00,1538.5,986.25,185.5,900.0,763.0,1040.5
2016-01-02 20:00:00+00:00,1474.0,996.0,182.0,938.0,745.0,1098.0
2016-01-02 21:00:00+00:00,1418.25,1017.5,181.5,851.0,638.0,794.5
2016-01-02 22:00:00+00:00,1354.0,1029.75,184.5,761.0,603.0,795.0
2016-01-02 23:00:00+00:00,1328.5,1021.75,182.5,671.0,581.0,734.5
2016-01-03 00:00:00+00:00,1336.0,1011.25,180.5,438.0,550.0,731.0
2016-01-03 01:00:00+00:00,1356.5,1001.0,183.5,428.0,534.0,685.5
2016-01-03 02:00:00+00:00,1303.25,998.0,183.5,362.0,533.0,673.5
2016-01-03 03:00:00+00:00,1311.25,997.75,182.5,466.0,530.0,672.5
2016-01-03 04:00:00+00:00,1336.0,999.5,185.0,456.0,529.0,659.0
2016-01-03 05:00:00+00:00,1373.25,990.5,186.0,536.0,535.0,659.0
