TimeStamp,at,de,ie,pt,es,se,uk
2016-01-01 00:00:00+00:00,22.0,2659.25,36.0,35.0,72.0,1108.0,2039.5
2016-01-01 01:00:00+00:00,22.0,2406.0,1.0,35.0,76.0,1110.0,1943.0
2016-01-01 02:00:00+00:00,22.0,2281.25,1.0,35.0,81.0,1142.0,2045.0
2016-01-01 03:00:00+00:00,22.0,2051.25,1.0,34.0,87.0,1143.0,2036.0
2016-01-01 04:00:00+00:00,22.0,1877.25,1.0,33.0,88.0,1149.0,2041.0
2016-01-01 05:00:00+00:00,22.0,1613.25,1.0,31.0,87.0,1174.0,2043.5
2016-01-01 06:00:00+00:00,22.0,1847.5,1.0,31.0,87.0,1280.0,2022.5
2016-01-01 07:00:00+00:00,22.0,2008.0,1.0,32.0,87.0,1281.0,2022.0
2016-01-01 08:00:00+00:00,22.0,2527.75,1.0,32.0,87.0,1281.0,2004.5
2016-01-01 09:00:00+00:00,22.0,2794.25,1.0,31.0,86.0,1299.0,2039.5
2016-01-01 10:00:00+00:00,22.0,2888.25,1.0,32.0,86.0,1304.0,2023.0
2016-01-01 11:00:00+00:00,22.0,2832.0,0.5,31.0,85.0,1304.0,2040.5
2016-01-01 12:00:00+00:00,22.0,2218.0,1.0,32.0,85.0,1306.0,2034.5
2016-01-01 13:00:00+00:00,22.0,2569.5,1.0,32.0,84.0,1313.0,2040.5
2016-01-01 14:00:00+00:00,22.0,2250.25,1.0,32.0,84.0,1325.0,2037.5
2016-01-01 15:00:00+00:00,22.0,2639.25,1.0,32.0,85.0,1293.0,2041.5
2016-01-01 16:00:00+00:00,22.0,3235.75,1.0,31.0,85.0,1310.0,2039.5
2016-01-01 17:00:00+00:00,22.0,3285.75,1.0,30.0,84.0,1401.0,2043.0
2016-01-01 18:00:00+00:00,22.0,2796.25,1.0,33.0,85.0,1386.0,2021.0
2016-01-01 19:00:00+00:00,22.0,2437.75,1.0,32.0,84.0,1376.0,2041.5
2016-01-01 20:00:00+00:00,22.0,2149.5,1.0,33.0,86.0,1353.0,2033.5
2016-01-01 21:00:00+00:00,22.0,2347.5,1.0,31.0,87.0,1335.0,2040.0
2016-01-01 22:00:00+00:00,22.0,2285.5,1.0,32.0,87.0,1303.0,2043.0
2016-01-01 23:00:00+00:00,22.0,2055.75,1.0,34.0,88.0,1293.0,2019.0
2016-01-02 00:00:00+00:00,22.0,2275.75,1.0,34.0,88.0,1288.0,1731.0
2016-01-02 01:00:00+00:00,22.0,2285.25,1.0,35.0,87.0,1305.0,1921.5
2016-01-02 02:00:00+00:00,22.0,2404.0,0.5,34.0,87.0,1306.0,1881.0
2016-01-02 03:00:00+00:00,22.0,2117.5,1.0,32.0,87.0,1310.0,2017.5
2016-01-02 04:00:00+00:00,22.0,2138.75,1.0,32.0,88.0,1320.0,1233.0
2016-01-02 05:00:00+00:00,22.0,2300.0,1.0,30.0,88.0,1383.0,1234.0
2016-01-02 06:00:00+00:00,22.0,2521.25,1.0,28.0,88.0,1419.0,1255.0
2016-01-02 07:00:00+00:00,22.0,2743.0,1.0,28.0,89.0,1432.0,1875.5
2016-01-02 08:00:00+00:00,22.0,2813.75,1.0,29.0,89.0,1461.0,2037.0
2016-01-02 09:00:00+00:00,22.0,2837.25,1.0,30.0,89.0,1533.0,1987.5
2016-01-02 10:00:00+00:00,22.0,2901.25,1.0,30.0,88.0,1555.0,2031.0
2016-01-02 11:00:00+00:00,22.0,3052.25,1.0,31.0,88.0,1560.0,2040.5
2016-01-02 12:00:00+00:00,22.0,3232.75,1.0,30.0,87.0,1567.0,2042.0
2016-01-02 13:00:00+00:00,22.0,2583.5,1.0,29.0,87.0,1576.0,2039.0
2016-01-02 14:00:00+00:00,22.0,2851.5,1.0,31.0,88.0,1567.0,2038.5
2016-01-02 15:00:00+00:00,22.0,3228.5,1.0,32.0,89.0,1554.0,2031.0
2016-01-02 16:00:00+00:00,22.0,3480.25,25.5,29.0,89.0,1556.0,2038.5
2016-01-02 17:00:00+00:00,22.0,3586.5,114.5,26.0,89.0,1554.0,2038.5
2016-01-02 18:00:00+00:00,22.0,3117.25,106.5,28.0,90.0,1547.0,2030.5
2016-01-02 19:00:00+00:00,22.0,2426.25,35.5,29.0,90.0,1533.0,1986.0
2016-01-02 20:00:00+00:00,22.0,2293.5,118.0,30.0,90.0,1498.0,2041.5
2016-01-02 21:00:00+00:00,22.0,2118.75,1.0,31.0,90.0,1463.0,2040.0
2016-01-02 22:00:00+00:00,22.0,1772.25,1.0,30.0,90.0,1446.0,2041.0
2016-01-02 23:00:00+00:00,22.0,1696.0,1.0,31.0,89.0,1412.0,2039.5
2016-01-03 00:00:00+00:00,22.0,1983.75,1.0,32.0,89.0,1412.0,2041.0
2016-01-03 01:00:00+00:00,22.0,1848.25,1.0,33.0,88.0,1438.0,2040.5
2016-01-03 02:00:00+00:00,22.0,1910.0,1.0,30.0,89.0,1477.0,2041.0
2016-01-03 03:00:00+00:00,22.0,1719.75,1.0,32.0,88.0,1474.0,2043.0
2016-01-03 04:00:00+00:00,22.0,2261.75,1.0,30.0,88.0,1432.0,1900.5
2016-01-03 05:00:00+00:00,22.0,2544.0,1.0,30.0,87.0,1451.0,1634.5
2016-01-03 06:00:00+00:00,22.0,2380.75,1.0,30.0,88.0,1458.0,2036.0
2016-01-03 07:00:00+00:00,22.0,2200.5,1.0,29.0,87.0,1476.0,2042.0
2016-01-03 08:00:00+00:00,22.0,2160.75,1.0,31.0,88.0,1485.0,2043.5
2016-01-03 09:00:00+00:00,22.0,2891.5,1.0,30.0,87.0,1517.0,2042.5
2016-01-03 10:00:00+00:00,22.0,2660.0,1.0,28.0,87.0,1566.0,2044.0
2016-01-03 11:00:00+00:00,22.0,2638.75,1.0,30.0,86.0,1584.0,2042.0
2016-01-03 12:00:00+00:00,22.0,1880.25,1.0,31.0,86.0,1589.0,2041.5
2016-01-03 13:00:00+00:00,22.0,2000.25,1.0,32.0,85.0,1590.0,2041.5
2016-01-03 14:00:00+00:00,22.0,2001.25,1.0,29.0,85.0,1588.0,2040.5
2016-01-03 15:00:00+00:00,22.0,2029.25,1.0,30.0,85.0,1576.0,2039.0
2016-01-03 16:00:00+00:00,22.0,2154.5,1.0,29.0,85.0,1579.0,2042.5
2016-01-03 17:00:00+00:00,22.0,2539.75,1.0,32.0,86.0,1578.0,2041.0
2016-01-03 18:00:00+00:00,22.0,2784.0,1.0,33.0,87.0,1571.0,2040.5
2016-01-03 19:00:00+00:00,22.0,2853.5,1.0,33.0,87.0,1571.0,2040.5
2016-01-03 20:00:00+00:00,22.0,2785.25,1.0,33.0,87.0,1551.0,2041.0
2016-01-03 21:00:00+00:00,22.0,2784.0,1.0,31.0,85.0,1541.0,2039.0
2016-01-03 22:00:00+00:00,22.0,2456.75,1.0,33.0,84.0,1509.0,2040.0
2016-01-03 23:00:00+00:00,22.0,2283.25,1.0,33.0,85.0,1466.0,2043.0
2016-01-04 00:00:00+00:00,22.0,2706.5,1.0,33.0,86.0,1428.0,2042.5
2016-01-04 01:00:00+00:00,22.0,2814.75,1.0,34.0,86.0,1442.0,2043.5
2016-01-04 02:00:00+00:00,22.0,2528.25,1.0,33.0,87.0,1446.0,2042.5
2016-01-04 03:00:00+00:00,22.0,2626.0,1.0,34.0,87.0,1449.0,2039.5
2016-01-04 04:00:00+00:00,22.0,3449.0,1.0,34.0,87.0,1458.0,2039.0
2016-01-04 05:00:00+00:00,22.0,4416.0,1.0,34.0,86.0,1479.0,2039.5
2016-01-04 06:00:00+00:00,22.0,5106.5,1.0,32.0,87.0,1540.0,2042.0
