TimeStamp,at,dk,de,pt,es,se,uk
2016-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,20.0,,0.0
2016-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,20.0,,0.0
2016-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,20.0,,0.0
2016-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,20.0,,0.0
2016-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,20.0,,0.0
2016-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,20.0,,0.0
2016-01-01 06:00:00+00:00,8.0,0.0,0.0,0.0,22.0,,0.0
2016-01-01 07:00:00+00:00,13.25,0.0,137.0,0.0,28.0,,0.0
2016-01-01 08:00:00+00:00,37.0,7.0,964.5,12.0,204.0,,14.0
2016-01-01 09:00:00+00:00,71.0,33.0,2522.5,42.0,585.0,,131.0
2016-01-01 10:00:00+00:00,99.5,66.0,3767.5,73.0,1187.0,,430.5
2016-01-01 11:00:00+00:00,116.25,80.0,4121.0,87.0,1501.0,,683.0
2016-01-01 12:00:00+00:00,113.75,65.0,3717.0,59.0,1512.0,,756.0
2016-01-01 13:00:00+00:00,87.0,34.0,2442.0,73.0,1423.0,,659.5
2016-01-01 14:00:00+00:00,44.75,7.0,840.75,59.0,1178.0,,471.0
2016-01-01 15:00:00+00:00,14.75,0.0,50.5,29.0,729.0,,255.5
2016-01-01 16:00:00+00:00,7.0,0.0,0.0,10.0,209.0,,78.5
2016-01-01 17:00:00+00:00,7.0,0.0,0.0,0.0,42.0,,3.0
2016-01-01 18:00:00+00:00,0.0,0.0,0.0,0.0,31.0,,0.0
2016-01-01 19:00:00+00:00,0.0,0.0,0.0,0.0,31.0,,0.0
2016-01-01 20:00:00+00:00,0.0,0.0,0.0,0.0,26.0,,0.0
2016-01-01 21:00:00+00:00,0.0,0.0,0.0,0.0,27.0,,0.0
2016-01-01 22:00:00+00:00,0.0,0.0,0.0,0.0,27.0,,0.0
2016-01-01 23:00:00+00:00,0.0,0.0,0.0,0.0,27.0,,0.0
2016-01-02 00:00:00+00:00,0.0,0.0,0.0,0.0,27.0,,0.0
2016-01-02 01:00:00+00:00,0.0,0.0,0.0,0.0,26.0,,0.0
