TimeStamp,at,dk,de,es
2016-01-01 00:00:00+00:00,100.0,162.0,594.5,121.0
2016-01-01 01:00:00+00:00,100.0,166.0,598.75,122.0
2016-01-01 02:00:00+00:00,100.0,165.0,592.0,122.0
2016-01-01 03:00:00+00:00,100.0,167.0,597.25,119.0
2016-01-01 04:00:00+00:00,100.0,169.0,593.5,121.0
2016-01-01 05:00:00+00:00,100.0,177.0,602.75,119.0
2016-01-01 06:00:00+00:00,100.0,192.0,595.0,112.0
2016-01-01 07:00:00+00:00,100.0,194.0,583.5,90.0
2016-01-01 08:00:00+00:00,100.0,195.0,585.25,90.0
2016-01-01 09:00:00+00:00,100.0,189.0,581.0,90.0
2016-01-01 10:00:00+00:00,100.0,190.0,591.25,100.0
2016-01-01 11:00:00+00:00,100.0,192.0,594.5,111.0
2016-01-01 12:00:00+00:00,100.0,190.0,588.0,116.0
2016-01-01 13:00:00+00:00,100.0,189.0,583.25,118.0
2016-01-01 14:00:00+00:00,100.0,189.0,582.5,118.0
2016-01-01 15:00:00+00:00,100.0,191.0,582.0,117.0
2016-01-01 16:00:00+00:00,100.0,188.0,590.0,117.0
2016-01-01 17:00:00+00:00,100.0,187.0,591.75,116.0
2016-01-01 18:00:00+00:00,100.0,186.0,598.25,118.0
2016-01-01 19:00:00+00:00,100.0,189.0,594.25,121.0
2016-01-01 20:00:00+00:00,100.0,186.0,604.25,120.0
2016-01-01 21:00:00+00:00,100.0,188.0,601.25,118.0
2016-01-01 22:00:00+00:00,100.0,187.0,607.5,118.0
2016-01-01 23:00:00+00:00,100.0,171.0,595.5,105.0
2016-01-02 00:00:00+00:00,100.0,170.0,600.25,84.0
2016-01-02 01:00:00+00:00,100.0,176.0,607.75,85.0
2016-01-02 02:00:00+00:00,100.0,163.0,596.25,86.0
2016-01-02 03:00:00+00:00,100.0,162.0,597.25,86.0
2016-01-02 04:00:00+00:00,100.0,152.0,605.0,87.0
2016-01-02 05:00:00+00:00,100.0,166.0,597.75,88.0
2016-01-02 06:00:00+00:00,100.0,160.0,592.75,106.0
2016-01-02 07:00:00+00:00,100.0,176.0,588.25,114.0
2016-01-02 08:00:00+00:00,100.0,163.0,586.0,117.0
2016-01-02 09:00:00+00:00,100.0,153.0,578.75,115.0
2016-01-02 10:00:00+00:00,100.0,155.0,584.75,109.0
2016-01-02 11:00:00+00:00,100.0,167.0,598.25,107.0
