TimeStamp,at,dk,de,ie,pt,es,se,uk
2016-01-01 00:00:00+00:00,152.5,863.0,6293.75,683.5,1869.0,3333.0,2248.0,3998.0
2016-01-01 01:00:00+00:00,109.5,733.0,6313.0,707.0,2131.0,3698.0,2211.0,3544.0
2016-01-01 02:00:00+00:00,55.5,722.0,6431.0,793.0,2227.0,4324.0,2195.0,3151.5
2016-01-01 03:00:00+00:00,39.0,718.0,6352.25,791.5,2172.0,5112.0,2156.0,2930.0
2016-01-01 04:00:00+00:00,33.75,761.0,5737.0,793.5,2533.0,5711.0,2170.0,2760.0
2016-01-01 05:00:00+00:00,31.75,728.0,5245.0,838.0,2668.0,6120.0,2151.0,2590.0
2016-01-01 06:00:00+00:00,33.5,547.0,4672.0,1005.5,2904.0,6514.0,2140.0,2665.5
2016-01-01 07:00:00+00:00,32.0,434.0,3993.0,1058.5,3203.0,6942.0,2145.0,2742.5
2016-01-01 08:00:00+00:00,42.25,321.0,3290.25,1203.0,3241.0,6942.0,2244.0,3005.0
2016-01-01 09:00:00+00:00,49.75,233.0,2467.0,1312.5,3494.0,7689.0,2337.0,3295.5
2016-01-01 10:00:00+00:00,46.25,145.0,1656.25,1656.5,3712.0,8796.0,2260.0,3662.5
2016-01-01 11:00:00+00:00,49.75,84.0,1154.75,1648.5,3916.0,9597.0,2125.0,3984.5
2016-01-01 12:00:00+00:00,49.75,48.0,706.0,1826.0,4058.0,10382.0,2081.0,4013.0
2016-01-01 13:00:00+00:00,57.5,46.0,447.0,1885.0,4076.0,11170.0,2078.0,4426.5
2016-01-01 14:00:00+00:00,60.5,40.0,398.0,1937.5,4009.0,11281.0,2121.0,4911.5
2016-01-01 15:00:00+00:00,52.5,25.0,662.75,1963.5,3868.0,11683.0,2132.0,5273.0
2016-01-01 16:00:00+00:00,46.0,39.0,1293.5,1985.5,3786.0,11540.0,2122.0,5675.0
2016-01-01 17:00:00+00:00,43.75,61.0,2052.5,1982.5,3685.0,11469.0,2157.0,5891.5
2016-01-01 18:00:00+00:00,58.25,83.0,3105.25,1874.5,3191.0,11716.0,2254.0,5905.0
2016-01-01 19:00:00+00:00,110.25,133.0,3772.0,1763.5,2901.0,11613.0,2229.0,5469.0
2016-01-01 20:00:00+00:00,102.75,248.0,4501.5,1744.5,2954.0,11623.0,2169.0,5332.0
2016-01-01 21:00:00+00:00,49.5,407.0,4989.5,1710.0,2892.0,11825.0,2052.0,5096.5
2016-01-01 22:00:00+00:00,19.75,505.0,5506.75,1490.0,2680.0,11429.0,1995.0,4972.0
2016-01-01 23:00:00+00:00,14.5,551.0,5805.0,1266.0,2430.0,11465.0,1997.0,4857.5
2016-01-02 00:00:00+00:00,29.5,754.0,6602.5,1091.5,2217.0,10872.0,2036.0,4839.5
2016-01-02 01:00:00+00:00,50.5,1096.0,8205.5,852.0,2338.0,10737.0,2141.0,3803.0
2016-01-02 02:00:00+00:00,101.25,1477.0,9220.75,685.5,2560.0,10613.0,2218.0,2580.5
2016-01-02 03:00:00+00:00,147.75,1771.0,10669.25,569.0,2566.0,10314.0,2250.0,2425.0
2016-01-02 04:00:00+00:00,158.5,1956.0,11829.25,549.0,2461.0,11012.0,2328.0,5159.5
2016-01-02 05:00:00+00:00,146.5,2243.0,12668.5,633.0,2355.0,10849.0,2497.0,2222.5
2016-01-02 06:00:00+00:00,159.0,2464.0,13262.75,690.0,1992.0,10442.0,2592.0,4977.0
2016-01-02 07:00:00+00:00,207.25,2736.0,13783.25,724.5,1366.0,10438.0,2609.0,4729.5
2016-01-02 08:00:00+00:00,291.5,2789.0,14533.0,720.5,1171.0,10407.0,2590.0,4538.0
2016-01-02 09:00:00+00:00,407.75,2818.0,15116.5,802.5,800.0,10144.0,2590.0,4301.5
