DateTime,GR,FI,RO,EE,NO,LT,SE,BA,HR,LV,PT,ME,HU,NL,RS,CZ,SK,MD,DE,ES,AT,BE,PL,UK,IE,CH,DK,LU,BG,FR,MK,UA
2020-01-01 00:00:00+00:00,5219.0,9237.0,5796.0,779.0,15787.0,1069.0,14860.0,1387.0,1736.0,633.0,4972.0,427.0,4173.0,11222.0,5514.0,5550.0,2701.0,,42713.0,22162.0,5874.0,8850.0,14053.0,31493.0,3037.0,7012.0,3230.0,384.0,4063.0,63142.0,1005.0,15062.0
2020-01-01 00:15:00+00:00,,,,,,,,,,,,,4115.0,11243.0,,,,,42532.0,,5803.0,8765.0,,,,,,382.0,,,,
2020-01-01 00:30:00+00:00,,,,,,,,,,,,,4064.0,11183.0,,,,,42163.0,,5737.0,8669.0,,32048.0,2973.0,,,380.0,,,,
2020-01-01 00:45:00+00:00,,,,,,,,,,,,,3983.0,11089.0,,,,,41879.0,,5659.0,8518.0,,,,,,376.0,,,,
2020-01-01 01:00:00+00:00,4910.0,9141.0,5621.0,759.0,15532.0,1031.0,14595.0,1317.0,1631.0,607.0,4806.0,395.0,3896.0,11061.0,5290.0,5560.0,2658.0,,41695.0,20891.0,5722.0,8457.0,13564.0,31712.0,2895.0,7134.0,3124.0,377.0,3924.0,61612.0,945.0,14549.0
2020-01-01 01:15:00+00:00,,,,,,,,,,,,,3855.0,11035.0,,,,,41375.0,,5650.0,8378.0,,,,,,,,,,
2020-01-01 01:30:00+00:00,,,,,,,,,,,,,3778.0,10973.0,,,,,40986.0,,5542.0,8282.0,,30831.0,2802.0,,,373.0,,,,
2020-01-01 01:45:00+00:00,,,,,,,,,,,,,3710.0,10868.0,,,,,40746.0,,5454.0,8164.0,,,,,,368.0,,,,
2020-01-01 02:00:00+00:00,4677.0,9149.0,5523.0,743.0,15427.0,1012.0,14204.0,1222.0,1557.0,595.0,4550.0,367.0,3671.0,10812.0,4960.0,5496.0,2574.0,,40375.0,19708.0,5405.0,8077.0,13112.0,30050.0,2720.0,6973.0,3024.0,366.0,3838.0,58419.0,879.0,14397.0
2020-01-01 02:15:00+00:00,,,,,,,,,,,,,3627.0,10730.0,,,,,40090.0,,5344.0,8006.0,,,,,,360.0,,,,
2020-01-01 02:30:00+00:00,,,,,,,,,,,,,3590.0,10637.0,,,,,39815.0,,5286.0,7980.0,,29084.0,2634.0,,,359.0,,,,
2020-01-01 02:45:00+00:00,,,,,,,,,,,,,3553.0,10565.0,,,,,39609.0,,5242.0,7940.0,,,,,,357.0,,,,
2020-01-01 03:00:00+00:00,4572.0,9206.0,5484.0,730.0,15321.0,,14263.0,1255.0,1513.0,596.0,4297.0,351.0,3552.0,10537.0,4715.0,5500.0,2570.0,,40073.0,18960.0,5253.0,7849.0,12943.0,27242.0,2544.0,7581.0,2943.0,355.0,3795.0,56268.0,829.0,14461.0
2020-01-01 03:15:00+00:00,,,,,,,,,,,,,3548.0,10497.0,,,,,39919.0,,5244.0,7809.0,,,,,,352.0,,,,
2020-01-01 03:30:00+00:00,,,,,,,,,,,,,3542.0,10470.0,,,,,39938.0,,,7764.0,,26429.0,2505.0,,,350.0,,,,
2020-01-01 03:45:00+00:00,,,,,,,,,,,,,3566.0,10453.0,,,,,39849.0,,5257.0,7760.0,,,,,,349.0,,,,
2020-01-01 04:00:00+00:00,4630.0,9432.0,5456.0,748.0,15248.0,1056.0,14257.0,1225.0,1508.0,612.0,4122.0,344.0,3570.0,10536.0,4481.0,5505.0,2594.0,,39957.0,18697.0,5338.0,7774.0,12970.0,25244.0,2485.0,7180.0,2965.0,351.0,3800.0,55937.0,811.0,14257.0
2020-01-01 04:15:00+00:00,,,,,,,,,,,,,3560.0,10552.0,,,,,39710.0,,5367.0,,,,,,,,,,,
2020-01-01 04:30:00+00:00,,,,,,,,,,,,,3569.0,10602.0,,,,,39688.0,,5409.0,7798.0,,24714.0,2448.0,,,,,,,
2020-01-01 04:45:00+00:00,,,,,,,,,,,,,3581.0,10629.0,,,,,39416.0,,5408.0,7800.0,,,,,,,,,,
2020-01-01 05:00:00+00:00,4720.0,9419.0,5453.0,760.0,15454.0,1077.0,14453.0,1237.0,1548.0,629.0,4035.0,,3635.0,10698.0,4430.0,,2626.0,,38671.0,18933.0,,7831.0,13125.0,25169.0,2414.0,7123.0,3070.0,348.0,3886.0,56162.0,,14217.0
2020-01-01 05:15:00+00:00,,,,,,,,,,,,,3644.0,10747.0,,,,,38555.0,,5448.0,7830.0,,,,,,,,,,
2020-01-01 05:30:00+00:00,,,,,,,,,,,,,3660.0,10817.0,,,,,38510.0,,5511.0,7861.0,,25366.0,2405.0,,,353.0,,,,
2020-01-01 05:45:00+00:00,,,,,,,,,,,,,3690.0,10863.0,,,,,38696.0,,5584.0,7865.0,,,,,,,,,,
2020-01-01 06:00:00+00:00,4909.0,9558.0,5428.0,769.0,15880.0,1092.0,14888.0,,1551.0,632.0,4026.0,346.0,3720.0,10981.0,4370.0,5565.0,2631.0,,38952.0,19326.0,5716.0,7770.0,13036.0,27207.0,,7103.0,3129.0,,4071.0,56390.0,775.0,14784.0
2020-01-01 06:15:00+00:00,,,,,,,,,,,,,3680.0,11053.0,,,,,39168.0,,5817.0,7734.0,,,,,,326.0,,,,
2020-01-01 06:30:00+00:00,,,,,,,,,,,,,3712.0,11126.0,,,,,39150.0,,5878.0,7763.0,,27687.0,2453.0,,,308.0,,,,
2020-01-01 06:45:00+00:00,,,,,,,,,,,,,3726.0,11205.0,,,,,39211.0,,5922.0,7744.0,,,,,,309.0,,,,
2020-01-01 07:00:00+00:00,5405.0,9522.0,5493.0,776.0,16241.0,1113.0,15327.0,1280.0,1664.0,637.0,3953.0,379.0,3745.0,11310.0,4518.0,5564.0,2698.0,,39470.0,19259.0,6033.0,7821.0,12978.0,28710.0,2469.0,6947.0,3237.0,317.0,4304.0,56153.0,806.0,15402.0
2020-01-01 07:15:00+00:00,,,,,,,,,,,,,3763.0,11397.0,,,,,39687.0,,6121.0,7923.0,,,,,,323.0,,,,
2020-01-01 07:30:00+00:00,,,,,,,,,,,,,3790.0,11427.0,,,,,39831.0,,6174.0,7911.0,,29174.0,2491.0,,,322.0,,,,
2020-01-01 07:45:00+00:00,,,,,,,,,,,,,3820.0,11439.0,,,,,40439.0,,6247.0,7927.0,,,,,,324.0,,,,
2020-01-01 08:00:00+00:00,5984.0,9578.0,5533.0,819.0,16472.0,1160.0,15502.0,1379.0,1817.0,677.0,3948.0,416.0,3845.0,11535.0,4863.0,5946.0,2819.0,,41187.0,20008.0,6330.0,7969.0,13483.0,29904.0,2526.0,6992.0,3396.0,330.0,4443.0,56766.0,858.0,15735.0
2020-01-01 08:15:00+00:00,,,,,,,,,,,,,3861.0,11657.0,,,,,41837.0,,6378.0,8090.0,,,,,,332.0,,,,
