,price
1999-01-04,5.528197711604538
1999-01-05,5.5277288229097445
1999-01-06,5.549852918513659
1999-01-07,5.6028131724643995
1999-01-08,5.589838135526708
1999-01-09,5.589838135526708
1999-01-10,5.589838135526708
1999-01-11,5.6333237809755285
1999-01-12,5.657284967196693
1999-01-13,5.549380349293759
1999-01-14,5.592716280966781
1999-01-15,5.605704698271624
1999-01-16,5.605704698271624
1999-01-17,5.605704698271624
1999-01-18,5.612463212375637
1999-01-19,5.6105305459801915
1999-01-20,5.630403699533987
1999-01-21,5.631863361744374
1999-01-22,5.634297814654266
1999-01-23,5.634297814654266
1999-01-24,5.634297814654266
1999-01-25,5.626029249145882
1999-01-26,5.627000761708333
1999-01-27,5.652868663553291
1999-01-28,5.711824962498326
1999-01-29,5.724870240873673
1999-01-30,5.724870240873673
1999-01-31,5.361862013642974
1999-02-01,5.383615907859554
1999-02-02,5.384090779157768
1999-02-03,5.384090779157768
1999-02-04,5.419465254666751
1999-02-05,5.405547038904678
1999-02-06,5.405547038904678
1999-02-07,5.405547038904678
1999-02-08,5.4276575816567325
1999-02-09,5.385991102383448
1999-02-10,5.381717260034527
1999-02-11,5.395989848241833
1999-02-12,5.4286230134570985
1999-02-13,5.4286230134570985
1999-02-14,5.4286230134570985
1999-02-15,5.431521370645277
1999-02-16,5.4616532894874394
1999-02-17,5.42428127284383
1999-02-18,5.434422824368912
1999-02-19,5.468013720622737
1999-02-20,5.468013720622737
1999-02-21,5.468013720622737
1999-02-22,5.553078344551639
1999-02-23,5.5647221408798995
1999-02-24,5.530437361901932
1999-02-25,5.533445486656841
1999-02-26,5.539974329579926
1999-02-27,5.539974329579926
1999-02-28,5.539974329579926
1999-03-01,5.556111156318189
1999-03-02,5.60663517620204
1999-03-03,5.600462167475146
1999-03-04,5.617470749430482
1999-03-05,5.6340628727442885
1999-03-06,5.6340628727442885
1999-03-07,5.6340628727442885
1999-03-08,5.595841324102642
1999-03-09,5.61902210837813
1999-03-10,5.5728510146363215
1999-03-11,5.604575995162209
1999-03-12,5.583556271799454
1999-03-13,5.583556271799454
1999-03-14,5.583556271799454
1999-03-15,5.574886945228935
1999-03-16,5.599434654005285
1999-03-17,5.566244497839834
1999-03-18,5.542992840838323
1999-03-19,5.592252603143529
1999-03-20,5.592252603143529
1999-03-21,5.592252603143529
1999-03-22,5.618504893530156
1999-03-23,5.602004144944165
1999-03-24,5.585600033245939
1999-03-25,5.600976065636963
1999-03-26,5.643960902756508
1999-03-27,5.643960902756508
1999-03-28,5.643960902756508
1999-03-29,5.708888623579464
1999-03-30,5.698761755514109
1999-03-31,5.682315878170883
1999-04-01,5.666490639000336
1999-04-02,5.666490639000336
1999-04-03,5.666490639000336
1999-04-04,5.666490639000336
1999-04-05,5.677030986171096
1999-04-06,5.690792202434423
1999-04-07,5.645526929644064
1999-04-08,5.642395744436274
1999-04-09,5.663336162860606
1999-04-10,5.663336162860606
1999-04-11,5.663336162860606
1999-04-12,5.616953820126219
1999-04-13,5.670175305463225
1999-04-14,5.6586110283963675
1999-04-15,5.659135653932099
1999-04-16,5.72173201755827
1999-04-17,5.72173201755827
1999-04-18,5.72173201755827
1999-04-19,5.738946705839753
1999-04-20,5.733555998808155
1999-04-21,5.766053009948197
1999-04-22,5.768777730206183
1999-04-23,5.740026063881101
1999-04-24,5.740026063881101
1999-04-25,5.740026063881101
1999-04-26,5.7508420165170175
1999-04-27,5.742185998430068
1999-04-28,5.7228049093673
1999-04-29,5.756265292654811
1999-04-30,5.377255724927265
1999-05-01,5.377255724927265
1999-05-02,5.377255724927265
1999-05-03,5.381318246959508
1999-05-04,5.394053286355001
1999-05-05,5.341968586955491
1999-05-06,5.276671813784074
1999-05-07,5.283031607366421
1999-05-08,5.283031607366421
1999-05-09,5.283031607366421
1999-05-10,5.308130313652001
1999-05-11,5.30961413688541
1999-05-12,5.3530088226448305
1999-05-13,5.36459978507383
1999-05-14,5.337465241387618
1999-05-15,5.337465241387618
1999-05-16,5.337465241387618
1999-05-17,5.332969482176343
1999-05-18,5.330475109172519
1999-05-19,5.3585460708157076
1999-05-20,5.356027720373551
1999-05-21,5.389971520720225
1999-05-22,5.389971520720225
1999-05-23,5.389971520720225
1999-05-24,5.383351810775079
1999-05-25,5.362075742641783
1999-05-26,5.408901653256214
1999-05-27,5.440922268409646
1999-05-28,5.4378069393123605
1999-05-29,5.4378069393123605
1999-05-30,5.4378069393123605
1999-05-31,5.449768450368613
1999-06-01,5.461259240660746
1999-06-02,5.488612879700849
1999-06-03,5.488612879700849
1999-06-04,5.524263588662551
1999-06-05,5.524263588662551
1999-06-06,5.524263588662551
1999-06-07,5.5237280842433325
1999-06-08,5.487027339148216
1999-06-09,5.444561333561458
1999-06-10,5.440402799031337
1999-06-11,5.440402799031337
1999-06-12,5.440402799031337
1999-06-13,5.440402799031337
1999-06-14,5.459689462206977
1999-06-15,5.483331304566419
1999-06-16,5.508243491257054
1999-06-17,5.51090705193948
1999-06-18,5.485442714387199
1999-06-19,5.485442714387199
1999-06-20,5.485442714387199
1999-06-21,5.511440073223157
1999-06-22,5.5253349090520905
1999-06-23,5.543071879090878
