,price
1999-01-10,5.568301004581781
1999-01-17,5.607117067606805
1999-01-24,5.626879180513855
1999-01-31,5.632760876042307
1999-02-07,5.398271976793696
1999-02-14,5.411032118955405
1999-02-21,5.450845702744809
1999-02-28,5.54308661753287
1999-03-07,5.611838266808389
1999-03-14,5.59185132252538
1999-03-21,5.580045249620424
1999-03-28,5.61985254937525
1999-04-04,5.679418401895114
1999-04-11,5.66367919303824
1999-04-18,5.681438837227532
1999-04-25,5.746773090920798
1999-05-02,5.586266484535855
1999-05-09,5.320443822307619
1999-05-16,5.335392683202704
1999-05-23,5.363990420671256
1999-05-30,5.415524613288544
1999-06-06,5.494434888059816
1999-06-13,5.459561136154051
1999-06-20,5.488357064733075
1999-06-27,5.495793830452992
1999-07-04,5.535022041433924
1999-07-11,5.581165957640557
1999-07-18,5.5958344608719965
1999-07-25,5.464459999863023
1999-08-01,5.395224643659246
1999-08-08,5.503567372451714
1999-08-15,5.528016298848259
1999-08-22,5.5755002164027525
1999-08-29,5.633341463284123
1999-09-05,5.558094463305139
1999-09-12,5.589735992094055
1999-09-19,5.688803797700013
1999-09-26,5.648046976286598
1999-10-03,5.561423964358404
1999-10-10,5.521157825433398
1999-10-17,5.477592252001962
1999-10-24,5.470590485697015
1999-10-31,5.746433315794208
1999-11-07,6.644169372152147
1999-11-14,6.711596291393825
1999-11-21,6.739359214755067
1999-11-28,6.827007723228456
1999-12-05,6.920776333499085
1999-12-12,6.834552826467254
1999-12-19,6.886590556141002
1999-12-26,6.881437043673295
2000-01-02,6.909762726403238
2000-01-09,6.763964135958834
2000-01-16,6.787923336323009
2000-01-23,6.890828795646196
2000-01-30,7.000034190478936
2000-02-06,10.659113555836546
2000-02-13,10.59665449606685
2000-02-20,10.586645894697158
2000-02-27,10.53476724831081
2000-03-05,10.776796170918555
2000-03-12,10.855492592854413
2000-03-19,10.786335600753459
2000-03-26,10.761309515481425
2000-04-02,10.870351688547185
2000-04-09,10.878113592068047
2000-04-16,10.906405869279865
2000-04-23,11.052668884114757
2000-04-30,11.452667810226588
2000-05-07,12.281864415544447
2000-05-14,12.244626297864475
2000-05-21,12.343799341543827
2000-05-28,12.164806062547232
2000-06-04,11.847765248853937
2000-06-11,11.618609352393308
2000-06-18,11.556546272745036
2000-06-25,11.674589677515078
2000-07-02,11.670626636113536
2000-07-09,11.635879145971307
2000-07-16,11.738766285398471
2000-07-23,11.864332027045128
2000-07-30,11.842596265904755
2000-08-06,13.447874413531421
2000-08-13,13.49743644972372
2000-08-20,13.456739562448936
2000-08-27,13.61347918521041
2000-09-03,13.721335580140307
2000-09-10,13.92530892713803
2000-09-17,14.193181812117553
2000-09-24,14.124206123669515
2000-10-01,13.939484744416632
2000-10-08,14.013539705637408
2000-10-15,14.134845456582207
2000-10-22,14.460415320400017
2000-10-29,14.709793005177326
2000-11-05,15.377339262351796
2000-11-12,15.551290164251958
2000-11-19,15.65192878363152
2000-11-26,15.876043395831463
2000-12-03,15.516551182927316
2000-12-10,15.097991874791925
2000-12-17,15.111371251263984
2000-12-24,14.717250751924107
2000-12-31,14.44359969366593
2001-01-07,14.148317459390066
2001-01-14,14.122830004566495
2001-01-21,14.25700934284673
2001-01-28,14.482069951684165
2001-02-04,15.127362074794615
2001-02-11,15.514259776757159
2001-02-18,15.708538660616558
2001-02-25,15.829641264244534
2001-03-04,15.538682774507889
2001-03-11,15.441936328555684
2001-03-18,15.861110716955608
2001-03-25,16.086133589702538
2001-04-01,16.23595076921432
2001-04-08,16.131469372870438
2001-04-15,16.2060225506354
2001-04-22,16.203486624706834
2001-04-29,15.998290907350553
2001-05-06,16.31173662572598
2001-05-13,16.470058982222465
2001-05-20,16.546777653480458
2001-05-27,16.846584359901453
2001-06-03,17.07031777459247
2001-06-10,17.132435733132326
2001-06-17,16.96329738027837
2001-06-24,17.017172983834083
2001-07-01,17.018553443568134
2001-07-08,17.2523310771364
2001-07-15,17.023993239263515
2001-07-22,16.742895978575625
2001-07-29,16.61393463779674
2001-08-05,14.941100999726661
2001-08-12,14.56386177768143
2001-08-19,14.18975128469945
2001-08-26,14.122971922424757
2001-09-02,14.14648962423205
2001-09-09,14.413152339848848
2001-09-16,14.157363924639567
2001-09-23,13.96711956590969
2001-09-30,14.07274843584804
2001-10-07,14.071617471094852
2001-10-14,14.168808202497061
2001-10-21,14.280382235010915
2001-10-28,14.470070240808555
2001-11-04,12.793642634366742
2001-11-11,12.343005080598687
2001-11-18,12.497329803737383
2001-11-25,12.568831770916308
2001-12-02,12.478507041733744
2001-12-09,12.408206793500936
2001-12-16,12.339297093520942
2001-12-23,12.314029146561692
2001-12-30,12.551491542970101
2002-01-06,12.289040687507034
2002-01-13,12.319610979525256
2002-01-20,12.416708914683579
2002-01-27,12.545696197928384
2002-02-03,11.76474345905699
2002-02-10,10.947103405937778
2002-02-17,10.909228292106146
2002-02-24,10.908069799705101
2002-03-03,10.970747157447429
2002-03-10,10.889568043718848
2002-03-17,10.823726211921526
2002-03-24,10.811573856390769
2002-03-31,10.899814987668199
2002-04-07,10.837674667708594
2002-04-14,10.828266816455761
2002-04-21,10.741865568563176
2002-04-28,10.657748677781035
2002-05-05,9.778481561854791
2002-05-12,9.58823039187825
2002-05-19,9.585686203944418
2002-05-26,9.48706048122941
2002-06-02,9.364227382219996
2002-06-09,9.2842984505858
2002-06-16,9.239491776226526
2002-06-23,9.130757796820948
2002-06-30,8.842211698188668
2002-07-07,8.927283199428151
2002-07-14,8.847541417412142
2002-07-21,8.647446113107119
2002-07-28,8.741738074129978
2002-08-04,8.786129868606062
2002-08-11,8.83909943817925
2002-08-18,8.762903937275953
2002-08-25,8.823902121205963
2002-09-01,8.768794185358347
2002-09-08,8.67223477006836
2002-09-15,8.788233522424246
2002-09-22,8.8205609298769
2002-09-29,8.77886418897361
2002-10-06,8.760888235665693
2002-10-13,8.782945870628854
2002-10-20,8.833646126357143
2002-10-27,8.853596048936534
2002-11-03,9.229846573017127
2002-11-10,9.451470621551225
2002-11-17,9.424345704971232
2002-11-24,9.443379969298393
2002-12-01,9.559923007548722
2002-12-08,9.504300169810607
2002-12-15,9.340658245067038
2002-12-22,9.248401736163094
2002-12-29,9.184398868145337
2003-01-05,9.188118730309792
2003-01-12,9.167744662958043
2003-01-19,9.060727367252317
2003-01-26,8.944869124136838
2003-02-02,9.327593493748724
2003-02-09,9.94690507842334
2003-02-16,9.980971159764346
2003-02-23,9.975582550214975
2003-03-02,9.976433835069233
2003-03-09,9.801584114513668
2003-03-16,9.857121961145138
2003-03-23,10.131531209903889
2003-03-30,10.044531700732923
2003-04-06,10.033181913363718
2003-04-13,10.097767495523737
2003-04-20,9.959307680868317
2003-04-27,9.86486745893069
2003-05-04,10.601000526843539
2003-05-11,10.706330139740933
2003-05-18,10.609357734168421
2003-05-25,10.412124505993507
2003-06-01,10.33658497825663
2003-06-08,10.383620848300064
2003-06-15,10.401097211436477
2003-06-22,10.425618845494899
2003-06-29,10.638910667097308
2003-07-06,10.640778992984702
2003-07-13,10.779108226105645
2003-07-20,10.87892381347362
2003-07-27,10.698864867486867
2003-08-03,10.850773910496473
2003-08-10,10.864669350711694
2003-08-17,10.929112020257147
2003-08-24,11.191444939187948
2003-08-31,11.312813931800198
2003-09-07,11.318340260375507
2003-09-14,11.038914709879393
2003-09-21,10.92101637072991
2003-09-28,10.730899558887417
2003-10-05,10.582251837474633
2003-10-12,10.479837733685153
2003-10-19,10.600292460123372
2003-10-26,10.505984724745064
2003-11-02,10.540542736316953
2003-11-09,10.714871427149427
2003-11-16,10.544364152645828
2003-11-23,10.347986564869998
2003-11-30,10.32290331091094
2003-12-07,10.184303716616942
2003-12-14,10.037627534742402
2003-12-21,9.933617941364181
2003-12-28,9.899271725567248
2004-01-04,9.76786176551001
2004-01-11,9.668308282674014
2004-01-18,9.72977967353823
2004-01-25,9.738527335589126
2004-02-01,9.687386254787624
2004-02-08,9.228506348633546
2004-02-15,9.056502450776524
2004-02-22,9.084196700766737
2004-02-29,9.254403990845981
2004-03-07,9.443341005281955
2004-03-14,9.417823067671085
2004-03-21,9.396446109891343
2004-03-28,9.473168427754825
2004-04-04,9.437113824933297
2004-04-11,9.567218750408722
2004-04-18,9.673741260757222
2004-04-25,9.716599184436799
2004-05-02,9.829211779400747
2004-05-09,9.839757193754
2004-05-16,10.046783704000863
2004-05-23,9.894132660832245
2004-05-30,9.774869147148276
2004-06-06,9.717109934906635
2004-06-13,9.79832862047336
2004-06-20,9.862241134112404
2004-06-27,9.798885737047613
2004-07-04,9.76228697344018
2004-07-11,9.618404445692544
2004-07-18,9.600028213889697
2004-07-25,9.672995057718367
2004-08-01,10.103192191341382
2004-08-08,10.795825770134684
2004-08-15,10.622153746578022
2004-08-22,10.551715985270642
2004-08-29,10.728422554559064
2004-09-05,10.703355799410255
2004-09-12,10.701850903979047
2004-09-19,10.643289521949683
2004-09-26,10.594810675860435
2004-10-03,10.513386410655368
2004-10-10,10.564787698576293
2004-10-17,10.509709216459282
2004-10-24,10.341644443799307
2004-10-31,10.394607427352549
2004-11-07,11.56325848193616
2004-11-14,11.459601014032021
2004-11-21,11.386851135422209
2004-11-28,11.24404309903409
2004-12-05,11.140367028426102
2004-12-12,11.138768952846647
2004-12-19,11.127263718890886
2004-12-26,11.0002239194046
2005-01-02,10.884811462414126
2005-01-09,11.161655662397033
2005-01-16,11.281123795975105
2005-01-23,11.384920671535667
2005-01-30,11.363104353090069
2005-02-06,13.281523275651551
2005-02-13,13.471932360412225
2005-02-20,13.254794956965682
2005-02-27,13.107648023125682
2005-03-06,13.127995205641398
2005-03-13,12.933997418524788
2005-03-20,12.94791007518428
2005-03-27,13.230554888350676
2005-04-03,13.326233241961821
2005-04-10,13.438807682777508
2005-04-17,13.384021200232263
2005-04-24,13.237453887601584
2005-05-01,13.672049600049288
2005-05-08,14.547586651614395
2005-05-15,14.749078387553121
2005-05-22,14.898397387524225
2005-05-29,14.971495083933686
2005-06-05,15.27499450512326
2005-06-12,15.337601081673037
2005-06-19,15.503942847354796
2005-06-26,15.533568697312003
2005-07-03,15.544278142889405
2005-07-10,15.787949702118222
2005-07-17,15.548934561360964
2005-07-24,15.538835007170084
2005-07-31,15.83943276433501
2005-08-07,16.981910127874762
2005-08-14,16.85079335438467
2005-08-21,17.076223276417362
2005-08-28,17.05134400451837
2005-09-04,16.89414212351154
2005-09-11,16.80344845272457
2005-09-18,17.05388729142584
2005-09-25,17.20609781173012
2005-10-02,17.376194960811777
2005-10-09,17.36714780881401
2005-10-16,17.4107974825538
2005-10-23,17.4516930246256
2005-10-30,17.31471376270555
2005-11-06,19.82301511099585
2005-11-13,20.234896524177604
2005-11-20,20.326193854746798
2005-11-27,20.184643781273344
2005-12-04,20.242697100407533
2005-12-11,20.17994265933491
2005-12-18,19.833552638131668
2005-12-25,19.980391458498108
2006-01-01,20.067064822465433
2006-01-08,19.756554497589793
2006-01-15,19.68273732708358
2006-01-22,19.65268980363008
2006-01-29,19.41791045939384
2006-02-05,21.359105619258592
2006-02-12,21.837008271918425
2006-02-19,22.006987606554247
2006-02-26,21.94869196969488
2006-03-05,21.869512525993006
2006-03-12,21.905944668807688
2006-03-19,21.648501635452302
2006-03-26,21.69166583804864
2006-04-02,21.644735851936797
2006-04-09,21.42679516380179
2006-04-16,21.599577268179196
2006-04-23,21.279488868728272
2006-04-30,21.15915755181627
2006-05-07,21.979626540916307
2006-05-14,21.678410421853624
2006-05-21,21.700285776864465
2006-05-28,21.701434617140567
2006-06-04,21.688193075788252
2006-06-11,21.772025405829726
2006-06-18,22.026494188693384
2006-06-25,22.129910632454447
2006-07-02,22.002959091989847
2006-07-09,21.736985038581075
2006-07-16,21.87010755167316
2006-07-23,22.035134281470643
2006-07-30,21.947963044957692
2006-08-06,22.42198958046458
2006-08-13,22.35499707816739
2006-08-20,22.412292835367115
2006-08-27,22.377573168186768
2006-09-03,22.360271046034605
2006-09-10,22.461506166206643
2006-09-17,22.58201972721093
2006-09-24,22.499092053459783
2006-10-01,22.583930267543735
2006-10-08,22.589187873738037
2006-10-15,22.83441419157057
2006-10-22,22.800357702030393
2006-10-29,22.702047613286975
2006-11-05,23.061872676763844
2006-11-12,23.05370772974365
2006-11-19,23.065896797523322
2006-11-26,22.773540199481875
2006-12-03,22.372300682452256
2006-12-10,22.206355735444227
2006-12-17,22.40985161069064
2006-12-24,22.40609972134671
2006-12-31,22.40207539162863
2007-01-07,22.450684379205722
2007-01-14,22.785635407358715
2007-01-21,22.804406712700093
2007-01-28,22.788887602884163
2007-02-04,22.235094819475087
2007-02-11,22.050874222174766
2007-02-18,21.888676743670175
