country,code,abbreviation,ISO alpha 2,ISO alpha 3,ISO numeric,land area km,latitude,longitude,adjusted_code
Albania,AL,Alb.,AL,ALB,8.0,28748.0,41.0,20.0,AL
Austria,AT,Aus.,AT,AUT,40.0,83858.0,47.33,13.33,AT
Belarus,BY,Bela.,BY,BLR,112.0,207600.0,53.0,28.0,BY
Belgium,BE,Bel.,BE,BEL,56.0,30510.0,50.83,4.0,BE
Bosnia and Herzegovina,BA,Bos.,BA,BIH,70.0,51129.0,44.25,17.83,BA
Bulgaria,BG,Blg.,BG,BGR,100.0,110910.0,43.0,25.0,BG
Croatia,HR,Cro.,HR,HRV,191.0,56542.0,45.17,15.5,HR
Cyprus,CY,Cyp.,CY,CYP,196.0,9250.0,35.0,33.0,CY
Czech Republic,CZ,Czech Rep.,CZ,CZE,203.0,78866.0,49.75,15.0,CZ
Denmark,DK,Den.,DK,DNK,208.0,43094.0,56.0,10.0,DK
Estonia,EE,Est.,EE,EST,233.0,45226.0,59.0,26.0,EE
Finland,FI,Fin.,FI,FIN,246.0,337030.0,64.0,26.0,FI
France,FR,Fr.,FR,FRA,250.0,547030.0,46.0,2.0,FR
Germany,DE,Ger.,DE,DEU,276.0,357021.0,51.5,10.5,DE
Greece,GR,Grc.,GR,GRC,300.0,131940.0,39.0,22.0,GR
Hungary,HU,Hung.,HU,HUN,348.0,93030.0,47.0,20.0,HU
Iceland,IS,Ice.,IS,ISL,352.0,103000.0,65.0,-18.0,IS
Ireland,IE,Ire.,IE,IRL,372.0,70280.0,53.0,-8.0,IE
Italy,IT,Italy,IT,ITA,380.0,301230.0,42.83,12.83,IT
Latvia,LV,Lat.,LV,LVA,428.0,64589.0,57.0,25.0,LV
Lithuania,LT,Lith.,LT,LTU,440.0,65200.0,56.0,24.0,LT
Luxembourg,LU,Lux.,LU,LUX,442.0,2586.0,49.75,6.17,LU
Malta,MT,Malta,MT,MLT,470.0,316.0,35.92,14.43,MT
Moldova,MD,Mol.,MD,MDA,498.0,33843.0,47.0,29.0,MD
Montenegro,ME,Mont.,ME,MNE,499.0,14026.0,43.5,19.3,ME
Netherlands,NL,Neth.,NL,NLD,528.0,41526.0,52.5,5.75,NL
North Macedonia,MK,Mac.,MK,MKD,807.0,25333.0,41.83,22.0,MK
Norway,NO,Nor.,NO,NOR,578.0,324220.0,62.0,10.0,NO
Poland,PL,Pol.,PL,POL,616.0,312685.0,52.0,20.0,PL
Portugal,PT,Port.,PT,PRT,620.0,92391.0,39.5,-8.0,PT
Romania,RO,Rom.,RO,ROU,642.0,237500.0,46.0,25.0,RO
Serbia,RS,Serb.,RS,SRB,688.0,88361.0,44.82,20.46,RS
Slovakia,SK,Slvk.,SK,SVK,703.0,48845.0,48.67,19.5,SK
Slovenia,SI,Slvn.,SI,SVN,705.0,20273.0,46.25,15.17,SI
Spain,ES,Spain,ES,ESP,724.0,504782.0,40.0,-4.0,ES
Sweden,SE,Swe.,SE,SWE,752.0,449964.0,62.0,15.0,SE
Switzerland,CH,Switz.,CH,CHE,756.0,41290.0,47.0,8.01,CH
Ukraine,UA,Ukr.,UA,UKR,804.0,603700.0,49.0,32.0,UA
United Kingdom,UK,U.K.,GB,GBR,826.0,244820.0,54.9,-3.12,UK
