Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=120.EXR.D.USD.EUR.SP00.A
,EXR.D.USD.EUR.SP00.A
,"ECB reference exchange rate, US dollar/Euro, 2:15 pm (C.E.T.)"
Collection:,Average of observations through period (A)
Period\Unit:,[US dollar ]
date,value,status
2022-01-28,1.1138,Normal value (A)
2022-01-27,1.1160,Normal value (A)
2022-01-26,1.1277,Normal value (A)
2022-01-25,1.1268,Normal value (A)
2022-01-24,1.1304,Normal value (A)
2022-01-21,1.1348,Normal value (A)
2022-01-20,1.1338,Normal value (A)
2022-01-19,1.1345,Normal value (A)
2022-01-18,1.1367,Normal value (A)
2022-01-17,1.1403,Normal value (A)
2022-01-14,1.1447,Normal value (A)
2022-01-13,1.1463,Normal value (A)
2022-01-12,1.1370,Normal value (A)
2022-01-11,1.1336,Normal value (A)
2022-01-10,1.1318,Normal value (A)
2022-01-07,1.1298,Normal value (A)
2022-01-06,1.1315,Normal value (A)
2022-01-05,1.1319,Normal value (A)
2022-01-04,1.1279,Normal value (A)
2022-01-03,1.1355,Normal value (A)
2021-12-31,1.1326,Normal value (A)
2021-12-30,1.1334,Normal value (A)
2021-12-29,1.1303,Normal value (A)
2021-12-28,1.1331,Normal value (A)
2021-12-27,1.1312,Normal value (A)
2021-12-24,1.1317,Normal value (A)
2021-12-23,1.1310,Normal value (A)
2021-12-22,1.1301,Normal value (A)
2021-12-21,1.1295,Normal value (A)
2021-12-20,1.1273,Normal value (A)
2021-12-17,1.1330,Normal value (A)
2021-12-16,1.1336,Normal value (A)
2021-12-15,1.1262,Normal value (A)
2021-12-14,1.1309,Normal value (A)
2021-12-13,1.1278,Normal value (A)
2021-12-10,1.1273,Normal value (A)
2021-12-09,1.1311,Normal value (A)
2021-12-08,1.1299,Normal value (A)
2021-12-07,1.1256,Normal value (A)
2021-12-06,1.1287,Normal value (A)
2021-12-03,1.1291,Normal value (A)
2021-12-02,1.1339,Normal value (A)
2021-12-01,1.1314,Normal value (A)
2021-11-30,1.1363,Normal value (A)
2021-11-29,1.1276,Normal value (A)
2021-11-26,1.1291,Normal value (A)
2021-11-25,1.1223,Normal value (A)
2021-11-24,1.1206,Normal value (A)
2021-11-23,1.1259,Normal value (A)
2021-11-22,1.1278,Normal value (A)
2021-11-19,1.1271,Normal value (A)
2021-11-18,1.1345,Normal value (A)
2021-11-17,1.1316,Normal value (A)
2021-11-16,1.1368,Normal value (A)
2021-11-15,1.1444,Normal value (A)
2021-11-12,1.1448,Normal value (A)
2021-11-11,1.1460,Normal value (A)
2021-11-10,1.1558,Normal value (A)
2021-11-09,1.1577,Normal value (A)
2021-11-08,1.1579,Normal value (A)
2021-11-05,1.1519,Normal value (A)
2021-11-04,1.1569,Normal value (A)
2021-11-03,1.1578,Normal value (A)
2021-11-02,1.1603,Normal value (A)
2021-11-01,1.1578,Normal value (A)
2021-10-29,1.1645,Normal value (A)
2021-10-28,1.1593,Normal value (A)
2021-10-27,1.1617,Normal value (A)
2021-10-26,1.1618,Normal value (A)
2021-10-25,1.1603,Normal value (A)
2021-10-22,1.1630,Normal value (A)
2021-10-21,1.1637,Normal value (A)
2021-10-20,1.1623,Normal value (A)
2021-10-19,1.1655,Normal value (A)
2021-10-18,1.1604,Normal value (A)
2021-10-15,1.1602,Normal value (A)
2021-10-14,1.1602,Normal value (A)
2021-10-13,1.1562,Normal value (A)
2021-10-12,1.1555,Normal value (A)
2021-10-11,1.1574,Normal value (A)
2021-10-08,1.1569,Normal value (A)
2021-10-07,1.1562,Normal value (A)
2021-10-06,1.1542,Normal value (A)
2021-10-05,1.1602,Normal value (A)
2021-10-04,1.1636,Normal value (A)
2021-10-01,1.1600,Normal value (A)
2021-09-30,1.1579,Normal value (A)
2021-09-29,1.1654,Normal value (A)
2021-09-28,1.1678,Normal value (A)
2021-09-27,1.1698,Normal value (A)
2021-09-24,1.1719,Normal value (A)
2021-09-23,1.1715,Normal value (A)
2021-09-22,1.1729,Normal value (A)
2021-09-21,1.1738,Normal value (A)
2021-09-20,1.1711,Normal value (A)
2021-09-17,1.1780,Normal value (A)
2021-09-16,1.1763,Normal value (A)
2021-09-15,1.1824,Normal value (A)
2021-09-14,1.1814,Normal value (A)
2021-09-13,1.1780,Normal value (A)
2021-09-10,1.1841,Normal value (A)
2021-09-09,1.1838,Normal value (A)
2021-09-08,1.1827,Normal value (A)
2021-09-07,1.1860,Normal value (A)
2021-09-06,1.1864,Normal value (A)
2021-09-03,1.1872,Normal value (A)
2021-09-02,1.1846,Normal value (A)
2021-09-01,1.1817,Normal value (A)
2021-08-31,1.1834,Normal value (A)
2021-08-30,1.1801,Normal value (A)
2021-08-27,1.1761,Normal value (A)
2021-08-26,1.1767,Normal value (A)
2021-08-25,1.1736,Normal value (A)
2021-08-24,1.1740,Normal value (A)
2021-08-23,1.1718,Normal value (A)
2021-08-20,1.1671,Normal value (A)
2021-08-19,1.1696,Normal value (A)
2021-08-18,1.1723,Normal value (A)
2021-08-17,1.1767,Normal value (A)
2021-08-16,1.1772,Normal value (A)
2021-08-13,1.1765,Normal value (A)
2021-08-12,1.1739,Normal value (A)
2021-08-11,1.1718,Normal value (A)
2021-08-10,1.1722,Normal value (A)
2021-08-09,1.1761,Normal value (A)
2021-08-06,1.1807,Normal value (A)
2021-08-05,1.1850,Normal value (A)
2021-08-04,1.1861,Normal value (A)
2021-08-03,1.1885,Normal value (A)
2021-08-02,1.1886,Normal value (A)
2021-07-30,1.1891,Normal value (A)
2021-07-29,1.1873,Normal value (A)
2021-07-28,1.1807,Normal value (A)
2021-07-27,1.1810,Normal value (A)
2021-07-26,1.1787,Normal value (A)
2021-07-23,1.1767,Normal value (A)
2021-07-22,1.1775,Normal value (A)
2021-07-21,1.1772,Normal value (A)
2021-07-20,1.1775,Normal value (A)
2021-07-19,1.1766,Normal value (A)
2021-07-16,1.1802,Normal value (A)
2021-07-15,1.1809,Normal value (A)
2021-07-14,1.1812,Normal value (A)
2021-07-13,1.1844,Normal value (A)
2021-07-12,1.1852,Normal value (A)
2021-07-09,1.1858,Normal value (A)
2021-07-08,1.1838,Normal value (A)
2021-07-07,1.1831,Normal value (A)
2021-07-06,1.1838,Normal value (A)
2021-07-05,1.1866,Normal value (A)
2021-07-02,1.1823,Normal value (A)
2021-07-01,1.1884,Normal value (A)
2021-06-30,1.1884,Normal value (A)
2021-06-29,1.1888,Normal value (A)
2021-06-28,1.1910,Normal value (A)
2021-06-25,1.1950,Normal value (A)
2021-06-24,1.1936,Normal value (A)
2021-06-23,1.1951,Normal value (A)
2021-06-22,1.1894,Normal value (A)
2021-06-21,1.1891,Normal value (A)
2021-06-18,1.1898,Normal value (A)
2021-06-17,1.1937,Normal value (A)
2021-06-16,1.2124,Normal value (A)
2021-06-15,1.2108,Normal value (A)
2021-06-14,1.2112,Normal value (A)
2021-06-11,1.2125,Normal value (A)
2021-06-10,1.2174,Normal value (A)
2021-06-09,1.2195,Normal value (A)
2021-06-08,1.2182,Normal value (A)
2021-06-07,1.2162,Normal value (A)
2021-06-04,1.2117,Normal value (A)
2021-06-03,1.2187,Normal value (A)
2021-06-02,1.2186,Normal value (A)
2021-06-01,1.2225,Normal value (A)
2021-05-31,1.2201,Normal value (A)
2021-05-28,1.2142,Normal value (A)
2021-05-27,1.2198,Normal value (A)
2021-05-26,1.2229,Normal value (A)
2021-05-25,1.2264,Normal value (A)
2021-05-24,1.2212,Normal value (A)
2021-05-21,1.2188,Normal value (A)
2021-05-20,1.2203,Normal value (A)
2021-05-19,1.2212,Normal value (A)
2021-05-18,1.2222,Normal value (A)
2021-05-17,1.2143,Normal value (A)
2021-05-14,1.2123,Normal value (A)
2021-05-13,1.2081,Normal value (A)
2021-05-12,1.2118,Normal value (A)
2021-05-11,1.2170,Normal value (A)
2021-05-10,1.2169,Normal value (A)
2021-05-07,1.2059,Normal value (A)
2021-05-06,1.2060,Normal value (A)
2021-05-05,1.2005,Normal value (A)
2021-05-04,1.2021,Normal value (A)
2021-05-03,1.2044,Normal value (A)
2021-04-30,1.2082,Normal value (A)
2021-04-29,1.2129,Normal value (A)
2021-04-28,1.2070,Normal value (A)
2021-04-27,1.2088,Normal value (A)
2021-04-26,1.2085,Normal value (A)
2021-04-23,1.2066,Normal value (A)
2021-04-22,1.2046,Normal value (A)
2021-04-21,1.2007,Normal value (A)
2021-04-20,1.2051,Normal value (A)
2021-04-19,1.2035,Normal value (A)
2021-04-16,1.1986,Normal value (A)
2021-04-15,1.1970,Normal value (A)
2021-04-14,1.1964,Normal value (A)
2021-04-13,1.1896,Normal value (A)
2021-04-12,1.1904,Normal value (A)
2021-04-09,1.1888,Normal value (A)
2021-04-08,1.1873,Normal value (A)
2021-04-07,1.1884,Normal value (A)
2021-04-06,1.1812,Normal value (A)
2021-04-01,1.1746,Normal value (A)
2021-03-31,1.1725,Normal value (A)
2021-03-30,1.1741,Normal value (A)
2021-03-29,1.1784,Normal value (A)
2021-03-26,1.1782,Normal value (A)
2021-03-25,1.1802,Normal value (A)
2021-03-24,1.1825,Normal value (A)
2021-03-23,1.1883,Normal value (A)
2021-03-22,1.1926,Normal value (A)
2021-03-19,1.1891,Normal value (A)
2021-03-18,1.1912,Normal value (A)
2021-03-17,1.1907,Normal value (A)
