Date,Open,High,Low,Close
01/03/2022,"120.00","120.00","120.00","120.00"
12/31/2021,"120.00","120.00","120.00","117.40"
12/30/2021,"117.00","120.00","117.00","117.65"
12/29/2021,"114.00","116.00","113.00","114.85"
12/28/2021,"125.00","125.00","125.00","128.60"
12/27/2021,"138.50","138.50","138.50","131.65"
12/24/2021,"138.50","138.50","135.00","135.80"
12/23/2021,"150.00","150.00","144.90","144.90"
12/22/2021,"154.25","154.25","152.00","153.20"
12/21/2021,"156.00","156.50","154.25","154.20"
12/20/2021,"155.00","155.00","153.00","154.25"
12/17/2021,"154.00","154.00","151.00","151.25"
12/16/2021,"148.00","154.00","148.00","154.00"
12/15/2021,"145.50","146.25","145.50","145.25"
12/14/2021,"143.00","147.00","143.00","145.10"
12/13/2021,"140.25","141.00","140.25","140.60"
12/10/2021,"134.00","135.50","134.00","135.30"
12/09/2021,"132.50","134.00","131.50","133.00"
12/08/2021,"133.00","135.00","132.00","133.65"
12/07/2021,"125.00","130.00","124.95","128.10"
12/06/2021,"119.00","121.50","119.00","121.65"
12/03/2021,"122.00","123.25","120.75","120.00"
12/02/2021,"125.00","125.00","123.00","123.55"
12/01/2021,"115.00","122.50","115.00","123.10"
11/30/2021,"112.00","113.00","109.00","108.95"
11/29/2021,"144.00","144.00","118.00","123.50"
11/26/2021,"144.00","144.00","144.00","141.00"
11/25/2021,"159.00","159.00","158.00","151.90"
11/24/2021,"158.00","158.00","158.00","156.60"
11/23/2021,"146.00","146.00","146.00","150.75"
11/22/2021,"132.00","137.00","132.00","137.90"
11/19/2021,"135.00","135.90","133.75","132.85"
11/18/2021,"129.75","132.75","129.75","132.75"
11/17/2021,"130.00","130.00","130.00","130.10"
11/16/2021,"123.00","127.90","123.00","129.20"
11/15/2021,"122.00","122.00","120.50","120.75"
11/12/2021,"121.00","121.00","121.00","121.00"
11/11/2021,"124.00","125.00","122.00","125.00"
11/10/2021,"123.00","123.00","122.00","125.95"
11/09/2021,"139.00","139.00","139.00","133.25"
11/08/2021,"137.50","137.50","137.50","140.50"
11/05/2021,"129.00","129.00","129.00","129.00"
11/04/2021,"128.00","128.00","128.00","125.35"
11/03/2021,"134.40","134.40","134.40","134.40"
11/02/2021,"121.95","121.95","121.95","121.95"
11/01/2021,"131.50","131.50","120.00","119.40"
10/29/2021,"232.65","232.65","232.65","232.65"
10/28/2021,"233.00","233.00","233.00","233.00"
10/27/2021,"232.85","232.85","232.85","232.85"
10/26/2021,"236.00","236.00","234.00","234.00"
10/25/2021,"235.00","235.00","235.00","237.15"
10/22/2021,"231.25","231.25","231.25","231.25"
10/21/2021,"228.50","228.50","228.50","228.50"
10/20/2021,"233.00","233.00","233.00","232.60"
10/19/2021,"235.00","235.00","233.00","234.50"
10/18/2021,"240.00","240.00","235.00","238.65"
10/15/2021,"242.50","242.50","240.00","240.05"
10/14/2021,"242.00","243.00","242.00","243.65"
10/13/2021,"247.00","247.00","246.00","244.95"
10/12/2021,"245.00","245.00","243.00","243.15"
10/11/2021,"242.00","242.00","240.00","241.50"
10/08/2021,"240.00","240.00","230.00","230.00"
10/07/2021,"220.00","235.00","220.00","232.65"
10/06/2021,"280.00","280.00","230.00","237.10"
10/05/2021,"261.00","267.00","261.00","274.50"
10/04/2021,"246.00","246.00","246.00","247.75"
10/01/2021,"188.00","234.00","222.00","233.05"
09/30/2021,"212.00","219.00","212.00","218.65"
09/29/2021,"207.00","210.00","206.50","208.50"
09/28/2021,"206.05","210.00","201.00","202.30"
09/27/2021,"200.00","202.00","200.00","201.75"
09/24/2021,"185.25","185.25","185.25","187.75"
09/23/2021,"175.05","178.00","175.00","179.75"
09/22/2021,"167.00","171.00","167.00","171.50"
09/21/2021,"168.00","168.05","167.50","167.30"
09/20/2021,"166.50","169.50","166.25","169.05"
09/17/2021,"165.00","166.00","162.50","164.90"
09/16/2021,"167.50","167.50","160.00","160.10"
09/15/2021,"172.50","172.50","167.50","167.95"
09/14/2021,"170.75","170.75","168.25","169.00"
09/13/2021,"174.00","174.05","173.55","171.10"
09/10/2021,"170.00","170.00","170.00","169.55"
09/09/2021,"168.40","168.40","168.40","168.40"
09/08/2021,"165.50","167.00","165.50","166.75"
09/07/2021,"164.15","167.50","163.80","166.20"
09/06/2021,"166.00","166.00","166.00","165.50"
09/03/2021,"159.50","162.00","159.50","162.00"
09/02/2021,"155.00","160.75","155.00","159.25"
09/01/2021,"155.00","157.50","154.00","154.00"
08/31/2021,"148.00","151.30","147.75","151.35"
08/30/2021,"148.00","148.00","148.00","148.70"
08/27/2021,"143.90","146.00","143.25","145.65"
08/26/2021,"143.45","143.75","143.45","143.70"
08/25/2021,"143.20","143.20","143.20","143.30"
08/24/2021,"139.00","143.30","139.00","143.20"
08/23/2021,"137.50","138.20","137.00","137.80"
08/20/2021,"133.30","133.30","133.30","133.30"
08/19/2021,"136.25","136.25","136.25","136.25"
08/18/2021,"145.15","145.15","144.25","143.75"
08/17/2021,"145.00","145.00","144.50","143.85"
08/16/2021,"146.00","146.00","146.00","147.50"
08/13/2021,"144.30","144.30","144.30","144.30"
08/12/2021,"145.00","145.60","145.00","144.25"
08/11/2021,"141.85","141.85","141.85","141.85"
08/10/2021,"138.60","138.60","137.80","138.25"
08/09/2021,"137.70","137.70","137.70","137.70"
08/06/2021,"136.00","136.00","136.00","135.85"
08/05/2021,"134.05","134.05","134.05","134.05"
08/04/2021,"132.90","132.90","132.90","132.90"
08/03/2021,"131.10","131.10","131.10","131.10"
08/02/2021,"131.50","132.00","131.50","131.70"
07/30/2021,"132.90","132.90","132.90","132.90"
07/29/2021,"132.90","132.90","132.90","132.90"
07/28/2021,"132.90","132.90","132.90","132.90"
07/27/2021,"132.60","132.60","132.60","132.60"
07/26/2021,"132.10","132.10","132.10","132.10"
07/23/2021,"132.30","132.30","132.30","132.30"
07/22/2021,"131.90","131.90","131.90","131.90"
07/21/2021,"132.60","132.60","132.60","132.60"
07/20/2021,"132.10","132.10","132.10","132.10"
07/19/2021,"133.50","133.50","133.35","133.10"
07/16/2021,"133.00","133.00","132.50","132.60"
07/15/2021,"132.00","132.00","132.00","132.00"
07/14/2021,"131.75","131.75","131.75","131.75"
07/13/2021,"128.00","128.00","128.00","131.10"
07/12/2021,"126.65","126.65","126.65","126.65"
07/09/2021,"126.80","126.80","126.80","126.80"
07/08/2021,"125.00","125.75","124.90","125.50"
07/07/2021,"124.25","124.25","124.25","124.65"
07/06/2021,"123.80","123.80","123.80","123.80"
07/05/2021,"127.25","127.25","127.25","127.25"
07/02/2021,"122.00","122.75","122.00","123.60"
07/01/2021,"124.00","124.00","123.75","122.25"
06/30/2021,"115.00","121.00","115.00","120.75"
06/29/2021,"113.00","115.65","112.90","115.05"
06/28/2021,"113.25","113.25","113.25","113.15"
06/25/2021,"115.00","116.00","115.00","115.50"
06/24/2021,"110.50","110.50","110.50","112.95"
06/23/2021,"108.00","109.00","108.00","108.75"
06/22/2021,"104.10","107.00","104.00","107.25"
06/21/2021,"104.40","104.75","103.80","103.80"
06/18/2021,"103.50","103.75","102.90","103.75"
06/17/2021,"103.25","104.00","103.10","103.75"
06/16/2021,"102.00","105.55","102.00","104.05"
